"","Player","Year","Pos","Age","AV","School","Height","X40YD","Vertical","BenchReps","Broad.Jump","X3Cone","Shuttle","Drafted","From","To","Rushing.TD","Rushing.Yards.per.Game","ReceivingTD","Receiving.Yards.per.Game","Ctch.","Total.TD","Offensive.Yards.per.Game"
"1","Aaron Jones",2017,"RB",22,44,"Texas-El Paso",69,45.6,37.5,16,127,68.2,42,182,2017,2021,41,60.3,12,21,73.5,53,81.3
"2","Adrian Peterson",2002,"RB",22,12,"Georgia Southern",70,46.8,34,14,119,75.9,46,199,2007,2021,120,81.1,6,13.4,71.9,126,94.5
"3","Adrian Peterson",2002,"RB",22,12,"Georgia Southern",70,46.8,34,14,119,75.9,46,199,2002,2009,8,12.1,0,6.3,76.5,8,18.4
"4","Adrian Peterson",2007,"RB",21,128,"Oklahoma",73,44,38.5,NA,127,70.9,44,7,2007,2021,120,81.1,6,13.4,71.9,126,94.5
"5","Adrian Peterson",2007,"RB",21,128,"Oklahoma",73,44,38.5,NA,127,70.9,44,7,2002,2009,8,12.1,0,6.3,76.5,8,18.4
"6","Ahmad Bradshaw",2007,"RB",20,47,"Marshall",69,45.5,34,NA,112,67,40.9,250,2007,2015,36,47.8,12,14.5,77,48,62.3
"7","Alex Collins",2016,"RB",21,18,"Arkansas",70,45.9,28.5,18,113,NA,NA,171,2016,2021,18,39.9,1,9.3,73.8,19,49.2
"8","Alex Green",2011,"RB",22,5,"Hawaii",72,44.5,34,20,114,69.1,41.5,96,2011,2013,0,17.6,0,4.8,63.6,0,22.4
"9","Alfred Blue",2014,"RB",22,19,"LSU",74,46.3,32,13,121,71.5,45,181,2014,2018,8,33,2,6.4,80.2,10,39.4
"10","Alfred Morris",2012,"RB",23,40,"Florida Atlantic",70,46.3,35.5,16,117,70.1,41.9,173,2012,2020,35,54.1,1,4.5,68.7,36,58.6
"11","Allen Bradford",2011,"RB",22,1,"USC",71,45.3,29,28,113,69.7,43.9,187,2011,2015,0,0.7,0,0,NA,0,0.7
"12","Alvin Kamara",2017,"RB",21,64,"Tennessee",70,45.6,39.5,15,131,NA,NA,67,2017,2021,47,58.1,20,44.7,78.4,67,102.8
"13","Alvin Pearman",2005,"RB",22,5,"Virginia",69,46.3,34,24,114,70.6,40.8,127,2005,2009,2,6.3,1,7.3,87.8,3,13.6
"14","Ameer Abdullah",2015,"RB",21,14,"Nebraska",69,46,42.5,24,130,67.9,39.5,54,2015,2021,6,17.3,7,9.5,72.1,13,26.8
"15","Andre Brown",2009,"RB",22,7,"North Carolina State",72,43.7,37,24,115,73.5,43.3,129,2010,2013,11,39.8,0,8.6,69.6,11,48.4
"16","Andre Ellington",2013,"RB",24,19,"Clemson",69,46.1,34,NA,122,NA,NA,187,2013,2017,10,27,3,21,67.7,13,48
"17","Andre Williams",2014,"RB",21,7,"Boston Col.",71,45.6,38,NA,129,72.7,40.6,113,2014,2017,8,26.6,0,3.3,45.2,8,29.9
"18","Anthony Allen",2011,"RB",22,1,"Georgia Tech",73,45.6,41.5,24,120,67.9,40.6,225,2011,2012,1,3.3,0,0.6,50,1,3.9
"19","Anthony Dixon",2010,"RB",22,7,"Mississippi State",73,46.7,33,15,121,70.9,44.9,173,2010,2015,11,9.7,0,1.5,92,11,11.2
"20","Anthony Thomas",2001,"RB",23,29,"Michigan",74,45.8,32.5,20,115,74.8,44.4,38,2001,2007,23,44.7,1,8.7,70.6,24,53.4
"21","Antonio Pittman",2007,"RB",21,3,"Ohio State",71,44,35.5,16,123,68.4,41.6,107,2007,2008,0,18.9,0,6.4,58.3,0,25.3
"22","Artose Pinner",2003,"RB",25,8,"Kentucky",70,46.8,NA,NA,NA,NA,NA,99,2003,2007,8,18.3,0,6.6,83,8,24.9
"23","B.J. Askew",2003,"RB",22,4,"Michigan",74,46,NA,NA,NA,NA,NA,85,2003,2009,2,1.4,0,3.8,80.4,2,5.2
"24","Beanie Wells",2009,"RB",20,15,"Ohio State",73,43.8,33.5,25,128,NA,NA,31,2009,2012,24,48.5,0,5.7,68.3,24,54.2
"25","Ben Tate",2010,"RB",21,15,"Auburn",71,43.4,40.5,26,124,69.1,41.2,58,2011,2014,14,46.3,0,6.8,73.6,14,53.1
"26","Bernard Pierce",2012,"RB",20,10,"Temple",72,44.5,36.5,17,123,70.7,42.8,84,2012,2015,5,25.9,0,3.3,68.1,5,29.2
"27","Bernard Scott",2009,"RB",25,9,"Abilene Christian",70,44.4,36,21,125,68.2,40.8,209,2009,2013,4,21.4,0,3.6,77.5,4,25
"28","Bilal Powell",2011,"RB",22,30,"Louisville",70,45.1,NA,18,NA,NA,NA,126,2011,2019,15,33.7,5,14.7,68.3,20,48.4
"29","Bishop Sankey",2014,"RB",21,6,"Washington",69,44.9,35.5,26,126,67.5,40,54,2014,2015,3,26.3,1,9.4,71.1,4,35.7
"30","Bo Scarbrough",2018,"RB",23,2,"Alabama",73,45.2,40,14,129,NA,43.4,236,2019,2020,1,58.3,0,0.7,25,1,59
"31","Brandon Jackson",2007,"RB",21,17,"Nebraska",70,45.4,37,21,122,70,41.4,63,2007,2012,7,25.6,2,16,79.4,9,41.6
"32","Brandon Jacobs",2005,"RB",22,41,"Southern Illinois",64,45.6,37,19,118,75.3,44.6,110,2005,2013,60,46.7,4,6.8,59.4,64,53.5
"33","Brian Allen",2002,"RB",21,0,"Stanford",69,44.6,33,19,112,69,40.8,204,2003,2003,0,0,0,0,NA,0,0
"34","Brian Calhoun",2006,"RB",21,1,"Wisconsin",69,45.7,31.5,18,124,70.5,42,74,2006,2007,0,4.9,0,5,100,0,9.9
"35","Brian Hill",2017,"RB",21,9,"Wyoming",73,45.4,34,15,125,70.3,43.2,156,2017,2021,3,20.5,1,6.5,79.2,4,27
"36","Brian Leonard",2007,"RB",23,12,"Rutgers",73,45.2,34.5,28,122,68.8,42.2,52,2007,2014,0,9.4,1,11.5,77.7,1,20.9
"37","Brian Westbrook",2002,"RB",22,80,"Villanova",68,45.7,37,26,118,70.9,NA,91,2002,2010,41,52.4,30,32.6,73.8,71,85
"38","C.J. Prosise",2016,"RB",21,5,"Notre Dame",72,44.8,35.5,NA,121,NA,NA,90,2016,2020,2,8.1,1,11.7,82,3,19.8
"39","C.J. Spiller",2010,"RB",22,37,"Clemson",71,43.7,NA,18,NA,NA,NA,9,2010,2017,12,38.3,9,16.5,75.3,21,54.8
"40","Cadillac Williams",2005,"RB",22,31,"Auburn",71,44.3,35.5,19,118,69.4,41.5,5,2005,2011,21,49.9,4,12.4,71.5,25,62.3
"41","Cameron Artis-Payne",2015,"RB",24,5,"Auburn",70,45.3,36.5,NA,118,71.3,NA,174,2015,2018,5,15.3,0,2.7,90.9,5,18
"42","Carlos Hyde",2014,"RB",23,36,"Ohio State",72,46.2,34.5,19,114,NA,NA,57,2014,2021,37,48.8,3,8.5,69.8,40,57.3
"43","Cedric Benson",2005,"RB",22,41,"Texas",70,46.2,NA,NA,NA,NA,NA,4,2005,2012,32,62.7,1,8.7,74.1,33,71.4
"44","Cedric Cobbs",2004,"RB",23,0,"Arkansas",72,47.5,40,NA,123,NA,NA,128,2004,2006,0,11.8,0,0,NA,0,11.8
"45","Cedric Houston",2005,"RB",22,5,"Tennessee",71,46.1,NA,NA,NA,NA,NA,182,2005,2006,7,33.8,0,5.5,83.3,7,39.3
"46","Cedric Peerman",2009,"RB",22,4,"Virginia",69,43.4,40,27,117,69.9,42.9,185,2009,2016,1,3.8,0,1.3,68.4,1,5.1
"47","Chad Morton",2000,"RB",22,10,"USC",68,45,36,18,121,NA,NA,166,2000,2006,0,4.1,1,4.5,70.6,1,8.6
"48","Charles Sims",2014,"RB",23,14,"West Virginia",72,44.8,37.5,17,126,71.6,43,69,2014,2017,2,20.4,6,25.3,73.3,8,45.7
"49","Chase Edmonds",2018,"RB",21,18,"Fordham",69,45.5,34,19,122,67.9,40.7,134,2018,2021,9,27.2,5,16.2,78,14,43.4
"50","Chauncey Washington",2008,"RB",22,0,"USC",71,44.5,NA,NA,NA,NA,NA,213,2008,2011,0,0.7,0,2,75,0,2.7
"51","Chester Taylor",2002,"RB",22,49,"Toledo",71,45.8,33,22,114,NA,NA,207,2002,2011,26,31.4,6,15.4,75.1,32,46.8
"52","Chris Brown",2003,"RB",21,26,"Colorado",75,44.6,NA,NA,NA,NA,NA,93,2003,2009,19,44.5,2,10.9,69.2,21,55.4
"53","Chris Carson",2017,"RB",22,31,"Oklahoma State",72,45.8,37,23,130,NA,NA,249,2017,2021,24,71.5,7,16.4,81.7,31,87.9
"54","Chris Henry",2007,"RB",21,1,"Arizona",71,44,36,26,127,69.6,41.4,50,2005,2009,0,0,21,33.2,51.3,21,33.2
"55","Chris Henry",2007,"RB",21,1,"Arizona",71,44,36,26,127,69.6,41.4,50,2007,2010,2,11.1,0,4.8,85.7,2,15.9
"56","Chris Johnson",2008,"RB",22,81,"East Carolina",71,42.4,35,NA,130,NA,NA,24,2008,2017,55,74.2,9,17.3,72.4,64,91.5
"57","Chris Ogbonnaya",2009,"RB",22,7,"Texas",72,45.7,35,19,111,68.5,42.9,211,2009,2014,2,13.4,2,13.5,68.6,4,26.9
"58","Chris Perry",2004,"RB",22,9,"Michigan",72,45.6,NA,19,NA,NA,NA,26,2004,2008,2,17.3,2,13.5,75.5,4,30.8
"59","Chris Rainey",2012,"RB",24,1,"Florida",68,43.6,36.5,16,120,65,39.3,159,2012,2013,2,5.7,0,3.3,60.9,2,9
"60","Chris Thompson",2013,"RB",22,22,"Florida State",67,44.2,NA,21,NA,NA,NA,154,2013,2020,5,16.4,11,25.9,75.6,16,42.3
"61","Christian McCaffrey",2017,"RB",20,48,"Stanford",71,44.8,37.5,10,121,65.7,42.2,8,2017,2021,30,61.8,17,52,81.3,47,113.8
"62","Christine Michael",2013,"RB",22,9,"Texas A&M",70,45.4,43,27,125,66.9,40.2,62,2013,2018,7,28.7,1,3.6,70.3,8,32.3
"63","Ciatrick Fason",2005,"RB",22,1,"Florida",73,45.8,NA,NA,NA,NA,NA,112,2005,2006,5,8.9,0,1.1,60,5,10
"64","Clinton Portis",2002,"RB",20,83,"Miami (FL)",71,44.2,NA,NA,NA,NA,NA,51,2002,2010,75,87.8,5,17.9,72.6,80,105.7
"65","Correll Buckhalter",2001,"RB",22,31,"Nebraska",72,45.3,40,11,123,70.8,40.6,121,2001,2010,21,28.6,6,13.7,74.6,27,42.3
"66","Cory Boyd",2008,"RB",22,0,"South Carolina",72,45.2,33.5,25,118,69.7,42.4,238,2008,2008,0,0,0,0,NA,0,0
"67","Curtis Keaton",2000,"RB",23,0,"West Virginia",70,44.1,41.5,23,131,68.2,39.3,97,2000,2002,0,3.6,0,0.4,100,0,4
"68","Cyrus Gray",2012,"RB",22,1,"Texas A&M",70,44,32.5,21,114,71.7,NA,182,2012,2014,1,2.8,0,1.8,69.2,1,4.6
"69","D'Onta Foreman",2017,"RB",20,8,"Texas",72,NA,NA,18,NA,NA,NA,89,2017,2021,5,38,2,9.2,81.8,7,47.2
"70","Da'Rel Scott",2011,"RB",22,1,"Maryland",71,44,34,19,117,71.5,42,221,2011,2013,0,4.9,1,5.8,61.9,1,10.7
"71","Dalvin Cook",2017,"RB",21,47,"Florida State",70,44.9,30.5,22,116,72.7,45.3,41,2017,2021,39,86.1,3,26.8,78.8,42,112.9
"72","Dan Herron",2012,"RB",22,5,"Ohio State",70,45.7,35,22,117,69.7,40.4,191,2012,2015,1,13.4,0,7.9,81.6,1,21.3
"73","Daniel Lasco",2016,"RB",23,0,"California",72,44.6,41.5,23,135,72.2,42.6,237,2016,2017,0,3.2,0,1.1,50,0,4.3
"74","Daniel Thomas",2011,"RB",23,12,"Kansas State",72,46.2,NA,21,NA,NA,NA,62,2011,2014,10,28.5,3,7.9,74.3,13,36.4
"75","Darren McFadden",2008,"RB",20,45,"Arkansas",73,43.3,33,NA,128,NA,NA,4,2008,2017,28,52.6,5,20.5,70.4,33,73.1
"76","Darren Sproles",2005,"RB",21,78,"Kansas State",66,44.7,33,23,105,69.6,39.6,130,2005,2019,23,19.4,32,26.4,74,55,45.8
"77","David Johnson",2015,"RB",23,46,"New Mexico",73,45,41.5,25,127,68.2,42.7,86,2015,2021,39,46.5,18,31.7,68.8,57,78.2
"78","David Wilson",2012,"RB",20,5,"Virginia Tech",70,43.8,41,NA,132,70.9,41.2,32,2012,2013,5,24,1,2,40,6,26
"79","De'Anthony Thomas",2014,"RB",21,7,"Oregon",69,43.9,32,8,124,NA,NA,124,2014,2019,2,2.8,4,7.4,73.9,6,10.2
"80","DeAndra Cobb",2005,"RB",23,0,"Michigan State",70,44.9,34,17,118,71.3,42.5,201,2005,2005,0,0,0,0,NA,0,0
"81","DeAngelo Williams",2006,"RB",22,73,"Memphis",69,44.5,35.5,25,121,NA,NA,27,2006,2016,61,57,9,14.8,74,70,71.8
"82","Delone Carter",2011,"RB",23,3,"Syracuse",69,45.4,37,27,120,69.2,40.7,119,2011,2013,5,18.5,0,1.1,60,5,19.6
"83","DeMarco Murray",2011,"RB",23,68,"Oklahoma",72,43.7,34.5,21,124,72.8,41.8,71,2011,2017,49,72.5,6,21.9,81.6,55,94.4
"84","Derrick Blaylock",2001,"RB",21,11,"Stephen F. Austin",70,43.6,35.5,18,119,70.5,40.9,150,2002,2006,10,16.1,2,10.2,65.4,12,26.3
"85","Derrick Henry",2016,"RB",22,53,"Alabama",75,45.4,37,22,130,72,43.8,45,2016,2021,65,79,3,9.8,75.2,68,88.8
"86","Derrius Guice",2018,"RB",20,2,"LSU",70,44.9,31.5,15,NA,NA,NA,59,2019,2019,2,49,1,15.8,77.8,3,64.8
"87","DeShaun Foster",2002,"RB",22,35,"UCLA",73,45.7,35.5,20,119,68.2,41.6,34,2003,2008,11,45.2,5,14.3,72.8,16,59.5
"88","DeShawn Wynn",2007,"RB",23,3,"Florida",70,44.7,31.5,NA,115,NA,NA,228,2007,2010,5,14.4,0,5.3,58.3,5,19.7
"89","Deuce McAllister",2001,"RB",22,61,"Mississippi",73,44.1,NA,NA,NA,NA,NA,23,2001,2008,49,62.8,5,17.7,75.2,54,80.5
"90","Devonta Freeman",2014,"RB",21,54,"Florida State",68,45.8,31.5,NA,118,71.1,42.6,103,2014,2021,38,48.2,12,23.1,79.5,50,71.3
"91","Devontae Booker",2016,"RB",23,21,"Utah",71,45.6,NA,22,NA,NA,NA,136,2016,2021,11,22.8,2,13.2,77.5,13,36
"92","Dion Lewis",2011,"RB",20,34,"Pittsburgh",67,45.6,34.5,17,112,69,41.8,149,2011,2020,13,23.8,8,13.8,79.3,21,37.6
"93","Domanick Williams",2003,"RB",22,35,"LSU",69,46.3,32.5,22,112,73.2,44.7,101,2003,2005,23,79.9,5,31.9,77,28,111.8
"94","Donald Brown",2009,"RB",21,28,"Connecticut",70,44.6,41.5,NA,125,69.3,41,27,2009,2015,18,31.8,2,12,73.6,20,43.8
"95","Doug Chapman",2000,"RB",22,3,"Marshall",70,45.6,38.5,16,128,68.4,42,88,2001,2003,0,12.2,1,5.5,81,1,17.7
"96","Doug Martin",2012,"RB",23,43,"Boise State",69,44.6,36,28,120,67.9,41.6,31,2012,2018,30,63.8,2,14.4,68.5,32,78.2
"97","Duke Johnson",2015,"RB",21,32,"Miami (FL)",69,45.4,33.5,NA,121,NA,NA,77,2015,2021,11,23.6,12,29.9,76.8,23,53.5
"98","Dwayne Wright",2007,"RB",23,1,"Fresno State",71,46.6,34,14,115,72.3,44.3,111,2007,2007,0,6.3,0,1.1,100,0,7.4
"99","Eddie Lacy",2013,"RB",22,38,"Alabama",71,45.5,NA,NA,NA,NA,NA,61,2013,2017,23,60.2,6,15.8,76.4,29,76
"100","Edwin Baker",2012,"RB",20,1,"Michigan State",68,44.4,35,20,111,72.7,43.1,250,2013,2014,2,28.8,0,9.5,88.9,2,38.3
"101","Elijah Hood",2017,"RB",20,0,"North Carolina",72,NA,NA,18,NA,NA,NA,242,2017,2017,0,0,0,0,NA,0,0
"102","Elijah McGuire",2017,"RB",22,6,"Louisiana",70,45.3,36,15,120,72.6,45.6,188,2017,2018,4,24.6,2,15.4,63.2,6,40
"103","Eric Shelton",2005,"RB",21,0,"Louisville",73,45.3,38.5,NA,124,74.4,40.8,54,2006,2006,0,2.6,0,0.7,100,0,3.3
"104","Evan Royster",2011,"RB",23,4,"Penn State",72,46.5,34,20,113,70.7,41.8,177,2011,2013,2,13,0,5.6,65.8,2,18.6
"105","Ezekiel Elliott",2016,"RB",20,66,"Ohio State",72,44.7,32.5,NA,118,NA,NA,4,2016,2021,56,83.9,12,25.5,76,68,109.4
"106","Felix Jones",2008,"RB",20,30,"Arkansas",70,44.4,33.5,NA,124,69,41.9,22,2008,2013,11,36.4,3,14.1,80,14,50.5
"107","Frank Gore",2005,"RB",21,133,"Miami (FL)",69,45.8,NA,NA,NA,NA,NA,65,2005,2020,81,66.4,18,16.5,69.4,99,82.9
"108","Frank Moreau",2000,"RB",23,1,"Louisville",73,45.7,36,23,117,NA,NA,115,2000,2001,5,14.7,0,0,0,5,14.7
"109","Garrett Wolfe",2007,"RB",22,2,"Northern Illinois",67,43.9,35.5,22,116,66.9,40.8,93,2007,2010,1,5.6,0,2.6,68.8,1,8.2
"110","Gartrell Johnson",2009,"RB",22,0,"Colorado State",70,46.7,34,20,114,NA,NA,134,2009,2010,0,4.2,0,0.3,50,0,4.5
"111","Giovani Bernard",2013,"RB",21,48,"North Carolina",68,45.3,33.5,19,122,69.1,41.2,37,2013,2021,22,29.6,14,23.5,75.1,36,53.1
"112","Glen Coffee",2009,"RB",21,2,"Alabama",72,45,36,24,121,73.5,45.1,74,2009,2009,1,16.1,0,5.4,61.1,1,21.5
"113","Greg Jones",2004,"RB",22,10,"Florida State",73,45.5,NA,NA,NA,NA,NA,55,2004,2013,10,7,3,3.6,63.5,13,10.6
"114","Isaiah Pead",2012,"RB",22,1,"Cincinnati",70,43.9,33,NA,116,69.5,43.2,50,2012,2016,0,3.3,0,3.3,75,0,6.6
"115","J.J. Arrington",2005,"RB",22,13,"California",69,44,35,18,121,68.1,41,44,2005,2008,3,11.3,2,11.9,74,5,23.2
"116","J.R. Redmond",2000,"RB",22,9,"Arizona State",71,44.8,32.5,NA,121,NA,NA,76,2000,2004,1,13.5,2,10,64.8,3,23.5
"117","Jacquizz Rodgers",2011,"RB",21,27,"Oregon State",66,45.9,33,NA,113,73.1,42.6,145,2011,2018,9,18.8,5,14.5,81.8,14,33.3
"118","Jahvid Best",2010,"RB",21,13,"California",70,43.4,32.5,18,113,67.5,41.7,30,2010,2011,6,43,3,35.2,70.8,9,78.2
"119","Jalen Parmele",2008,"RB",22,1,"Toledo",71,44.7,34,19,125,69.6,42.9,176,2008,2014,0,5.2,0,1.7,77.8,0,6.9
"120","Jamaal Charles",2008,"RB",21,74,"Texas",71,43.8,30.5,NA,122,68,42.2,73,2008,2018,44,63.6,20,21.8,70.6,64,85.4
"121","Jamaal Williams",2017,"RB",21,27,"BYU",72,45.9,30,NA,123,72.5,45.3,134,2017,2021,13,35.4,8,15.3,80.9,21,50.7
"122","Jamal Lewis",2000,"RB",20,80,"Tennessee",72,45.8,NA,23,NA,NA,NA,5,2000,2009,58,81,4,14.3,74.2,62,95.3
"123","James Conner",2017,"RB",21,28,"Pittsburgh",73,46.5,29,20,113,NA,NA,105,2017,2021,37,47,7,20.6,83.9,44,67.6
"124","James Davis",2009,"RB",23,1,"Clemson",71,44.5,32,17,109,71.5,43.7,195,2009,2010,0,8.3,0,5.6,80,0,13.9
"125","James Jackson",2001,"RB",24,9,"Miami (FL)",70,45.5,NA,NA,NA,NA,NA,65,2001,2005,5,20.8,0,4.5,69.6,5,25.3
"126","James Starks",2010,"RB",24,29,"Buffalo",74,45,36,15,119,68.9,42.3,193,2010,2016,9,33,6,13.4,74.9,15,46.4
"127","James White",2014,"RB",22,42,"Wisconsin",69,45.7,32,23,114,70.5,42,130,2014,2021,11,13.5,25,34.5,74.6,36,48
"128","Jamie Harper",2011,"RB",21,1,"Clemson",71,45.3,36.5,24,120,71.6,43.9,130,2011,2012,4,3.2,0,1.7,71.4,4,4.9
"129","Javarris Williams",2009,"RB",22,0,"Tennessee State",69,45.1,33.5,25,116,NA,NA,212,2009,2009,0,1.5,0,0,0,0,1.5
"130","Javon Ringer",2009,"RB",22,5,"Michigan State",69,45,34,23,115,68.7,41.1,173,2009,2012,3,13.1,0,6.6,77.6,3,19.7
"131","Javorius Allen",2015,"RB",23,14,"USC",72,45.3,35.5,11,121,69.6,42.8,125,2015,2019,9,20.1,6,12.9,76,15,33
"132","Jay Ajayi",2015,"RB",21,20,"Boise State",72,45.7,39,19,121,71,41,149,2015,2019,13,56.6,1,9.3,72.4,14,65.9
"133","Jeremy Hill",2014,"RB",21,22,"LSU",73,45.6,29,20,113,NA,NA,55,2014,2018,29,52.7,1,8.9,81.9,30,61.6
"134","Jeremy Langford",2015,"RB",23,7,"Michigan State",72,44.2,34.5,NA,118,72.2,43.2,106,2015,2018,10,26.3,1,14.5,59.4,11,40.8
"135","Jeremy McNichols",2017,"RB",21,5,"Boise State",69,44.9,35.5,NA,121,69.3,42.8,162,2017,2021,1,10.7,1,8.7,72.7,2,19.4
"136","Jerick McKinnon",2014,"RB",21,28,"Georgia Southern",69,44.1,40.5,32,132,68.3,41.2,96,2014,2021,12,26.4,7,15.4,73.2,19,41.8
"137","Jerious Norwood",2006,"RB",22,21,"Mississippi State",72,44,36.5,15,122,68.1,42.5,79,2006,2011,7,31.2,3,13.8,71.6,10,45
"138","Jerome Harrison",2006,"RB",23,13,"Washington State",69,44.7,34.5,19,124,67.7,40.7,145,2006,2011,7,26.7,3,7.8,70.7,10,34.5
"139","Joe McKnight",2010,"RB",21,7,"USC",71,44,36.5,18,120,NA,NA,112,2010,2014,0,12.3,2,5.9,74.2,2,18.2
"140","John Kelly",2018,"RB",21,1,"Tennessee",70,NA,35,15,120,71.3,45.1,176,2018,2021,0,8,0,2.3,66.7,0,10.3
"141","Johnathan Franklin",2013,"RB",23,1,"UCLA",70,44.9,31.5,18,115,68.9,43.1,125,2013,2013,1,9.7,0,2.7,80,1,12.4
"142","Jonathan Dwyer",2010,"RB",20,8,"Georgia Tech",71,46.4,33,15,107,75.6,46.7,188,2010,2014,3,26.9,0,4.8,72.5,3,31.7
"143","Jonathan Stewart",2008,"RB",20,58,"Oregon",70,44.6,36.5,28,128,NA,NA,13,2008,2018,51,54.7,7,9.7,68.6,58,64.4
"144","Jonathan Wells",2002,"RB",22,11,"Ohio State",73,45.2,NA,NA,NA,NA,NA,99,2002,2005,10,19.5,2,5.4,74.6,12,24.9
"145","Jonathan Williams",2016,"RB",22,4,"Arkansas",71,45.6,NA,16,NA,NA,NA,156,2016,2021,3,12.5,0,3.3,83.3,3,15.8
